15706,21892,21622,19791,20991,20673,20052,19453,19828,17464,20572,19085,20661,20036,20196,20304,19372,20818,19969,22026,21290,22212,16528,17961,13358,16973,17416,17742
17688,23088,23376,21518,21304,23681,23522,21390,18784,20185,21416,20269,24782,21781,23272,22449,20667,25270,21486,21478,21529,25074,18054,18148,16068,17885,18170,19497
14152,17662,19244,17513,16909,18504,19034,16286,15825,15270,17025,15038,18024,17368,16878,17976,14973,18240,16087,18524,17656,18494,12797,15546,10988,15409,14637,15566
13484,21849,20224,14960,18102,20657,19019,18403,17638,19031,19104,17054,20389,18546,17958,20122,19041,19676,18126,18710,18697,21621,16151,14961,14171,16091,16129,17888
15491,21229,20970,19041,19127,21239,19720,20475,18730,19308,19134,18146,19201,18098,19355,21207,18261,21587,19196,19928,19537,22432,17520,17279,14816,15588,16297,18316
16228,23041,24438,20111,20867,23131,23519,22396,20389,19380,22324,19664,21613,21895,20925,22504,20978,22001,19895,23344,21728,23085,18438,19787,12628,17295,16627,20949
18515,25279,21736,20834,22124,24983,23097,22886,20440,21419,20974,23488,22622,19687,23327,22677,22838,22977,21766,23265,21076,26019,20228,19365,16163,17836,19330,20258
16313,21965,23520,21625,20286,23564,21509,23908,21015,20328,21307,19231,24135,21116,23039,23758,18913,24077,21453,24936,23534,23749,18554,18075,15953,17514,18298,20917
11187,17687,15324,13884,16602,17023,16768,15515,13755,13165,14968,15246,16702,14502,14515,16844,15743,16721,14686,16206,14529,17498,13618,14024,9851,12171,12274,13686
13930,17659,19239,16492,17529,19483,19325,17563,16966,15736,17074,16194,17640,15463,16388,17856,16539,19505,16816,17618,17609,19282,14162,15457,11989,15270,15795,16780
15413,21300,22354,19166,18395,21002,18232,22294,17671,17161,20535,17607,22351,21882,19663,23506,18996,21904,18173,20289,19795,23555,17726,16396,12862,13479,14027,18844
13225,16908,21950,17225,18828,16960,19119,18652,16898,15489,17836,16248,18393,17599,17141,18080,17882,17846,17059,18318,18660,21285,15765,16335,11671,15173,15879,16074
16590,24694,24408,21081,21472,23789,23541,23197,20808,21128,23103,20771,24400,23228,20983,23196,20972,22585,20403,22623,23136,26384,18711,18535,15701,17928,19542,20051
17767,25688,21267,22481,20720,25713,23066,21446,19745,21058,20190,20322,23202,20393,20977,22449,20060,23363,21804,21076,21508,23243,18729,18282,14589,16564,20464,20623
13748,21981,18786,22155,17745,22680,19854,20031,19452,18812,18232,18685,20371,19938,19805,21231,16578,23064,20473,20822,20564,21691,17104,16714,14169,14529,18391,16761
15305,20379,21025,16395,17374,19650,19257,18444,15957,16031,19196,14425,20518,19311,17434,20657,14934,18811,14873,19414,18711,18813,14967,14381,10282,12809,13476,17897
17533,23772,25167,22961,21453,24572,22443,23043,21947,20769,22387,20751,23573,21937,21992,22572,21449,24410,21280,24728,22980,24821,19685,20359,15111,18270,19795,21215
14576,21136,20765,19984,21060,21225,21759,19593,18427,17853,19031,18268,19298,17653,18545,17479,18874,20503,18567,19603,19111,22011,17389,19425,14562,15098,17487,19250
19094,25023,24453,24031,21544,25003,23840,22097,20246,20640,22908,20077,24092,22773,22698,24299,21120,24715,21768,24640,22914,24353,19325,19772,16432,18849,19043,20848
16252,19909,19390,20285,18135,18578,18459,18992,16983,17555,18263,17961,20709,17376,20212,18508,17196,20438,18308,19877,17732,19690,16757,15687,13936,14698,15821,16115
12588,19309,18754,18187,18776,20868,21219,20260,19662,16888,19956,16407,20933,17988,18948,20697,18171,22090,19883,22117,21818,20752,15997,16877,14827,14145,16536,17909
16285,20895,18527,19073,17176,21618,18389,19361,18446,19279,18512,14967,18804,19051,15984,19645,17365,19457,16796,17607,18432,21476,15925,16976,12843,13782,14151,17044
16293,21081,20931,19901,17650,21042,18905,18517,15659,19919,19965,18572,19421,20337,18952,20719,20752,21877,20298,19880,18002,22856,16070,18161,14229,17155,16494,17320
13392,18790,20204,16174,16363,18799,19093,17060,15116,16475,18140,15630,20275,17945,20423,17478,15094,18488,15329,20664,17753,19185,14994,13636,14093,14567,15173,16735
13604,21470,21247,18648,18857,20774,20223,21453,18097,19355,19136,20252,20548,19163,18584,19703,18658,18886,17775,21751,19509,22987,17652,17334,13831,15122,17547,16556
12446,16240,15706,16096,16929,16231,14668,17329,16737,13734,16789,12891,17519,14522,15834,17606,13290,16686,15549,18178,16644,15648,12109,13170,11198,12016,12366,15535
11243,15457,14209,13852,12836,15438,13577,14247,13895,12995,13632,12654,14995,12154,14311,13524,15407,15689,14969,14041,14086,16203,12709,13360,11691,11711,13178,14951
15208,21940,21652,18624,22333,22873,21821,22031,18529,18709,20844,21641,23408,21070,21720,22856,20602,21729,19890,22769,21025,25284,17308,17930,14123,17319,17799,19491
